Subject_ITA                                                       , Subject                                                        , Sigla           , Cat, Sub_Cat, Class, Sub_Class, Sub_Class-1, Iconclass                     , Ordinare, Cluster, Section        , Getty    , Getty_2
Bianco                                                            , Blank                                                          , Blank           ,   0,      00, 00B  ,          , 00B        , 00B                           , 00B     , 1_5    , Blank          ,          ,          
Copertina                                                         , Cover                                                          , Cover           ,   0,      00, 00C  ,          , 00C        , 00C                           , 00C     , 1_4    , Cover          ,          ,          
La_Trinità                                                        , The_Holy_Trinity                                               , Tri             ,   1,      11, 11B  ,          , 11B        , 11B                           , 11B     , 3_6    , HolyFig-1      , 901001209,          
Dio_Padre                                                         , God_the_Father                                                 , G               ,   1,      11, 11C  ,          , 11C        , 11C                           , 11C     , 3_6    , HolyFig-1      , 901000593,          
Croce                                                             , Cross                                                          , Cro             ,   1,      11, 11D  ,         1, 11D1       , 11D12                         , 11D1    , 3_3    , HolyFig-2      , 901001152,          
Agnus_Dei                                                         , Agnus_Dei                                                      , HLamb           ,   1,      11, 11D  ,         1, 11D1       , 11D1311                       , 11D1    , 3_3    , HolyFig-2      , 901001026,          
Cristo_come_bambino                                               , Christ_as_child                                                , C(Child)        ,   1,      11, 11D  ,         2, 11D2       , 11D2                          , 11D2    , 3_2    , Christ         , 901001162,          
Cristo_come_adulto                                                , Chist_as_adult                                                 , C               ,   1,      11, 11D  ,         3, 11D3       , 11D3                          , 11D3    , 3_2    , Christ         , 901000087,          
Ritratti_di_Cristo                                                , Portraits_of_Christ                                            , Port(C)         ,   1,      11, 11D  ,         3, 11D3       , 11D31                         , 11D3    , 3_2    , Christ         ,          ,          
Sudarium_Veronica                                                 , Sudarium_Veronica                                              , VeilV           ,   1,      11, 11D  ,         3, 11D3       , 11D312                        , 11D312  , 3_3    , HolyFig-2      , 901000529,          
Salvator_Mundi                                                    , Salvator_Mundi                                                 , SalMun          ,   1,      11, 11D  ,         3, 11D3       , 11D324                        , 11D3    , 3_2    , Christ         , 901000584,          
